study,dataset,baseline,mechanism_ratio,ring4_ratio,ring8_ratio,long8_ratio,candidate_gate
pi4,screen,free_behavior,0.4824323113800974,0.979864236488513,0.9291736030179888,0.6908544730112045,True
c1,d01,free_behavior,0.5429206379516592,1.0315294833923179,0.9757154684858206,0.8213106017751893,True
c1,d02,free_behavior,0.53581445151726,1.2997220476811868,1.0654723520627791,0.7914032187130218,False
c1,d03,free_behavior,0.894166105296965,1.1925638760029886,0.9661066064647836,0.9600700731868975,False
b1,b01,free_behavior,0.6756194294282194,1.0039379000256548,1.053451080597354,0.9377659137642929,False
b1,b01,graph32_behavior,0.8343801005443238,0.8613931564592868,1.0546079068223264,0.34805974673275647,False
b1,b01,gru32_behavior,0.9254223248803073,0.7836652993078931,1.0933669021377357,0.6123240062761077,False
b1,b01,gru4_behavior,0.6795014624040343,0.225681452028644,0.23787804638960577,0.13684616954599466,True
b1,b01,node32_behavior,0.6756992108148727,0.839207059901539,0.8639997014584313,0.3847206263055679,True
b1,b02,free_behavior,0.5769710400229942,1.0265818374224633,1.0815461235938333,1.6786897419728088,False
b1,b02,graph32_behavior,0.8860731015962079,0.90118957772692,0.9155093932843118,0.7753868101422676,True
b1,b02,gru32_behavior,0.6999409133298818,0.804659736349462,0.8583901594240706,0.9721334615403213,True
b1,b02,gru4_behavior,0.6328395561672814,0.34684844220619165,0.4394545676694345,0.41318231522162935,True
b1,b02,node32_behavior,0.5581984553933956,0.8745106933761492,0.8444070563939129,0.675863006102449,True
b1,b03,free_behavior,0.6938572450881472,1.1680910276650252,0.9688950896851649,0.5888501142454645,False
b1,b03,graph32_behavior,0.7321323164475777,0.9919967133418915,0.8489393883169041,0.3203336040291746,True
b1,b03,gru32_behavior,0.7986320543697535,1.0970751053320698,0.9930089343005254,0.546677817595117,False
b1,b03,gru4_behavior,0.6068908327476396,0.2375172072275317,0.2288923778092142,0.19711598284087709,True
b1,b03,node32_behavior,0.6136995821857363,0.8831499247731485,0.8708335761524548,0.38380771581887263,True
t1,t01,free_behavior,0.51109641752927,0.896197621338451,0.7142265889453954,0.5606675217107865,True
t1,t01,graph32_behavior,1.0593623928107005,2.004160857941929,1.7147415915769617,0.43449764904821286,False
t1,t01,gru32_behavior,1.422635365316151,2.8366207069271865,2.0863798773217614,0.6287907309060593,False
t1,t01,gru4_behavior,0.6848599382651467,1.270714522428504,1.053601026267564,0.23801181297494525,False
t1,t01,node32_behavior,0.6997145595146521,1.290232613072829,1.230229344654801,0.35454976564715596,False
t1,t02,free_behavior,0.384184645980646,1.2926249906564033,1.0460776632933613,0.6911768347534419,False
t1,t02,graph32_behavior,1.0503159076350403,1.6764942134401308,1.9219958272366569,0.5824421761164937,False
t1,t02,gru32_behavior,1.789505409911506,3.0026711650085147,2.655488311016931,1.0137084347066632,False
t1,t02,gru4_behavior,0.665393826767914,0.9400425875849361,1.1698473318370397,0.2992766551938157,False
t1,t02,node32_behavior,0.5653940441698003,1.5716851070765947,1.241262868511402,0.5173153581398967,False
t1,t03,free_behavior,0.43778440549455816,0.9441483043173086,1.0342773545067823,0.7346645652577818,True
t1,t03,graph32_behavior,1.1376017798963076,1.6032550771700786,2.0341728859113215,0.4721306066276417,False
t1,t03,gru32_behavior,1.541489591291319,2.1854809927329697,2.6761861851903146,0.7141574615744751,False
t1,t03,gru4_behavior,0.8806538217501635,1.281196362266186,1.2567347260879886,0.2606510967302209,False
t1,t03,node32_behavior,0.6564285398019789,1.3287098491762006,1.3600520160527758,0.32769997900357245,False
