study,dataset,method,seed,case,kind,wait,mse,nmse,difference_error,difference_target_energy,difference_output_energy,repeat_mse,wrong_mse,wrong_ratio,repeat_vs_difference,source_file,source_pointer
pi4,screen,fixed_behavior,727,ring4,general,0,0.025372585943119,0.03398097001816426,,,,0.0084450757236818,0.029169358218492366,1.1496407297184876,,results/source_records/pi4/run/summary.json,/records/27
pi4,screen,fixed_behavior,727,ring8,general,0,0.020737484986534705,0.02777327692019013,,,,0.005839256370266292,0.027682136398792353,1.3348839754081538,,results/source_records/pi4/run/summary.json,/records/28
pi4,screen,fixed_behavior,727,long8,general,0,0.11834704723023447,0.15849970801890234,,,,0.0692034207353433,0.16563209121683553,1.3995456168383473,,results/source_records/pi4/run/summary.json,/records/29
pi4,screen,fixed_behavior,727,reset_iso,reset,0,0.06045184994440137,0.22161929812709305,0.7101063707859675,0.08296559125478338,0.023715730831355267,0.04542759219700692,0.08433531353296403,1.3950824269319912,0.5475473809075976,results/source_records/pi4/run/summary.json,/records/30
pi4,screen,fixed_behavior,727,reset_iso,reset,256,0.06025378539467289,0.2208931842606844,0.7096781867960226,0.08296559125478338,0.023426811748290016,0.045308420528347236,0.08401055175891592,1.3942784043962058,0.5461109821926928,results/source_records/pi4/run/summary.json,/records/31
pi4,screen,fixed_behavior,727,reset_ring4,reset,0,0.03261231040683294,0.11955824923989065,0.5769067837189625,0.06332779317069659,0.0215802502117839,0.03168746809897859,0.05679921544532798,1.7416495408257673,0.5003722143540793,results/source_records/pi4/run/summary.json,/records/32
pi4,screen,fixed_behavior,727,reset_ring4,reset,256,0.0325345938213385,0.11927333661693612,0.5764140989370882,0.06332779317069659,0.02142130248498722,0.03171034956803115,0.056657625315576714,1.7414578963766445,0.5007335323142817,results/source_records/pi4/run/summary.json,/records/33
pi4,screen,fixed_behavior,727,reset_null,reset,0,0.037793303351602796,0.13855201073895715,,0.0,0.0,0.02924882440423437,0.037793303351602796,1.0,,results/source_records/pi4/run/summary.json,/records/34
pi4,screen,fixed_behavior,727,reset_null,reset,256,0.03723515776818756,0.13650582302819253,,0.0,0.0,0.028934094869724713,0.03723515776818756,1.0,,results/source_records/pi4/run/summary.json,/records/35
pi4,screen,fixed_behavior,733,ring4,general,0,0.02077396968266695,0.027822140105368456,,,,0.0070299890496075094,0.037931956284334746,1.8259368268927338,,results/source_records/pi4/run/summary.json,/records/36
pi4,screen,fixed_behavior,733,ring8,general,0,0.014656492074193742,0.019629131175717143,,,,0.006426879175586435,0.028172734005100588,1.9222017016408328,,results/source_records/pi4/run/summary.json,/records/37
pi4,screen,fixed_behavior,733,long8,general,0,0.08105937666004827,0.10856111608612734,,,,0.0589605436315468,0.17179490950754497,2.1193712138699126,,results/source_records/pi4/run/summary.json,/records/38
pi4,screen,fixed_behavior,733,reset_iso,reset,0,0.0424779852118819,0.15572627268095968,0.4847768887293778,0.08296559125478338,0.04684755814103978,0.03505991616580684,0.08727465917145245,2.054585657396954,0.42258381620085733,results/source_records/pi4/run/summary.json,/records/39
pi4,screen,fixed_behavior,733,reset_iso,reset,256,0.04251046968685851,0.15584536227955698,0.4840646038158771,0.08296559125478338,0.04680376130172825,0.035289703977323034,0.08731479289266107,2.0539597312342366,0.4253534922562057,results/source_records/pi4/run/summary.json,/records/40
pi4,screen,fixed_behavior,733,reset_ring4,reset,0,0.028157412263447146,0.10322638510880319,0.42110551183496864,0.06332779317069659,0.04132776542705134,0.029290405036414297,0.06715135024322849,2.384855171169325,0.46252053908563684,results/source_records/pi4/run/summary.json,/records/41
pi4,screen,fixed_behavior,733,reset_ring4,reset,256,0.028106360196214337,0.10303922585199835,0.421074914469401,0.06332779317069659,0.04149110416428648,0.02925562146020033,0.06718293640220581,2.390310802721966,0.4619712766769467,results/source_records/pi4/run/summary.json,/records/42
pi4,screen,fixed_behavior,733,reset_null,reset,0,0.03172078271000339,0.116289867170294,,0.0,0.0,0.031246501701039753,0.03172078271000339,1.0,,results/source_records/pi4/run/summary.json,/records/43
pi4,screen,fixed_behavior,733,reset_null,reset,256,0.031552953411733545,0.11567459714428266,,0.0,0.0,0.0313479507411579,0.031552953411733545,1.0,,results/source_records/pi4/run/summary.json,/records/44
pi4,screen,fixed_behavior,739,ring4,general,0,0.023558002496356756,0.03155073662224163,,,,0.009979768758659137,0.03917185452361868,1.6627833590592669,,results/source_records/pi4/run/summary.json,/records/45
pi4,screen,fixed_behavior,739,ring8,general,0,0.01969377566030674,0.026375458999630504,,,,0.007644053523331741,0.03367172110394709,1.7097646324779265,,results/source_records/pi4/run/summary.json,/records/46
pi4,screen,fixed_behavior,739,long8,general,0,0.09657151821965426,0.1293362005980568,,,,0.09114339088269334,0.21830923328933627,2.2605964710297566,,results/source_records/pi4/run/summary.json,/records/47
pi4,screen,fixed_behavior,739,reset_iso,reset,0,0.047767818289865684,0.17511904717885277,0.3738809412481381,0.08296559125478338,0.0684128540253918,0.05969851789441449,0.10794741414382104,2.2598355547404796,0.7195575538187052,results/source_records/pi4/run/summary.json,/records/48
pi4,screen,fixed_behavior,739,reset_iso,reset,256,0.04670707191213319,0.17123030154178556,0.37094461157646186,0.08296559125478338,0.06829259103671705,0.059906036534753314,0.10694834333277385,2.2897676723124163,0.7220588153320662,results/source_records/pi4/run/summary.json,/records/49
pi4,screen,fixed_behavior,739,reset_ring4,reset,0,0.042623768915428704,0.15626072252969261,0.4108914826272411,0.06332779317069659,0.05663889184418632,0.05549942271866485,0.08959668604329511,2.1020357496087922,0.8763833372350305,results/source_records/pi4/run/summary.json,/records/50
pi4,screen,fixed_behavior,739,reset_ring4,reset,256,0.04167761621957489,0.15279208266889377,0.4077992939549976,0.06332779317069659,0.0572270950020792,0.05581361085757806,0.08904254571679172,2.136459658529385,0.8813446365821643,results/source_records/pi4/run/summary.json,/records/51
pi4,screen,fixed_behavior,739,reset_null,reset,0,0.03979216121207322,0.1458799167749296,,0.0,0.0,0.0549961190947986,0.03979216121207322,1.0,,results/source_records/pi4/run/summary.json,/records/52
pi4,screen,fixed_behavior,739,reset_null,reset,256,0.03815606367076078,0.13988190696866878,,0.0,0.0,0.0558506627691115,0.03815606367076078,1.0,,results/source_records/pi4/run/summary.json,/records/53
pi4,screen,free_mse,727,ring4,general,0,0.026414032101497203,0.03537575692568402,,,,3.2321175134498454e-05,0.026723223117271478,1.01170555917348,,results/source_records/pi4/run/summary.json,/records/54
pi4,screen,free_mse,727,ring8,general,0,0.026481240527694766,0.035465767755510635,,,,3.259315796948073e-05,0.026366401730361616,0.9956633905721657,,results/source_records/pi4/run/summary.json,/records/55
pi4,screen,free_mse,727,long8,general,0,0.23308495590173903,0.3121657727729619,,,,3.271662521759693e-05,0.23322030107530864,1.000580668851175,,results/source_records/pi4/run/summary.json,/records/56
pi4,screen,free_mse,727,reset_iso,reset,0,0.08941905834832202,0.32781443361231694,0.9993272873365531,0.08296559125478338,1.0690625777822141e-06,1.687278470276939e-05,0.08944749888139532,1.0003180589641474,0.00020337087276282853,results/source_records/pi4/run/summary.json,/records/57
pi4,screen,free_mse,727,reset_iso,reset,256,0.08931342164106133,0.32742716452227083,0.9999757277941113,0.08296559125478338,4.695108036117914e-09,6.928409259423943e-08,0.08931443086758777,1.0000112998305057,8.350943029077112e-07,results/source_records/pi4/run/summary.json,/records/58
pi4,screen,free_mse,727,reset_ring4,reset,0,0.06785921406200998,0.24877504006428863,0.999698886467549,0.06332779317069659,1.541838211148219e-06,1.561577819657884e-05,0.06786951940880205,1.000151863633178,0.000246586489355272,results/source_records/pi4/run/summary.json,/records/59
pi4,screen,free_mse,727,reset_ring4,reset,256,0.06672528623903673,0.24461800783971255,0.9999767431974436,0.06332779317069659,9.085945792762905e-09,1.1426039455629268e-07,0.06672602718300658,1.000011104395524,1.804269323712419e-06,results/source_records/pi4/run/summary.json,/records/60
pi4,screen,free_mse,727,reset_null,reset,0,0.06971812131357755,0.2555898806482354,,0.0,0.0,1.7280335646861054e-05,0.06971812131357755,1.0,,results/source_records/pi4/run/summary.json,/records/61
pi4,screen,free_mse,727,reset_null,reset,256,0.06864965203933376,0.2516728225127763,,0.0,0.0,8.364482274895514e-08,0.06864965203933376,1.0,,results/source_records/pi4/run/summary.json,/records/62
pi4,screen,free_mse,733,ring4,general,0,0.020671661809590042,0.027685121325515177,,,,0.00011838841940555184,0.021020153456283008,1.0168584243445435,,results/source_records/pi4/run/summary.json,/records/63
pi4,screen,free_mse,733,ring8,general,0,0.01598945380302454,0.02141433874755488,,,,0.0001497528761952979,0.015854850995552408,0.9915817757673079,,results/source_records/pi4/run/summary.json,/records/64
pi4,screen,free_mse,733,long8,general,0,0.11581999570962971,0.15511528113594544,,,,8.06728509674837e-05,0.11567846263326241,0.9987779910066468,,results/source_records/pi4/run/summary.json,/records/65
pi4,screen,free_mse,733,reset_iso,reset,0,0.04656377199034589,0.1707049573526933,1.0002412533937217,0.08296559125478338,5.889969102660039e-06,7.040608890685974e-05,0.04655670910958049,0.9998483181137717,0.0008486179371716402,results/source_records/pi4/run/summary.json,/records/66
pi4,screen,free_mse,733,reset_iso,reset,256,0.046414350171454816,0.17015717000362177,1.000012138278559,0.08296559125478338,3.419153460481623e-09,4.043165272372089e-08,0.046413848351301155,0.9999891882542402,4.873303753065197e-07,results/source_records/pi4/run/summary.json,/records/67
