study,dataset,method,case,wait,n_initializations,mse_median,nmse_median,difference_error_median,repeat_mse_median,wrong_ratio_median,repeat_vs_difference_median
b1,b01,graph32_behavior,reset_null,256,3,0.0930375243713097,0.3779357401474724,,0.020235198822851932,1.0,
b1,b01,graph32_behavior,reset_ring4,0,3,0.12556518404764913,0.5100691478032912,0.818668059110437,0.007048444953452182,1.0716596633272877,0.0911411398652448
b1,b01,graph32_behavior,reset_ring4,256,3,0.14253767839207843,0.5790145787523194,0.8807761065403357,0.009592656618044678,1.060593738021988,0.12403951003068688
b1,b01,graph32_behavior,ring4,0,3,0.019323549101408374,0.02699385287504788,,0.0016994301432195344,1.3580335540596449,
b1,b01,graph32_behavior,ring8,0,3,0.02145255073585094,0.029967941982037574,,0.002192712634746572,1.2319989001648304,
b1,b01,gru32_behavior,long8,0,3,0.21117075638619762,0.2949930315330187,,0.03062362810221946,1.2522740576806124,
b1,b01,gru32_behavior,reset_iso,0,3,0.1135358367510928,0.4612037001816326,0.7755649319971589,0.01725895063419965,1.116966564443308,0.20932824232493638
b1,b01,gru32_behavior,reset_iso,256,3,0.1137392548736282,0.462030022455568,0.7774570821184812,0.016500467067614533,1.1174053991653157,0.20012883992842018
b1,b01,gru32_behavior,reset_null,0,3,0.07153973886981979,0.2906077342709246,,0.017371454768558437,1.0,
b1,b01,gru32_behavior,reset_null,256,3,0.07335210153769829,0.29796988874492664,,0.015586894066407148,1.0,
b1,b01,gru32_behavior,reset_ring4,0,3,0.0687094097684762,0.2791104106801963,0.7507426431931243,0.01916747308125732,1.2373509698850094,0.24784833484534355
b1,b01,gru32_behavior,reset_ring4,256,3,0.07020154989981331,0.285171761610924,0.7500384575801641,0.0186983147673732,1.2371692435690922,0.2417818019026819
b1,b01,gru32_behavior,ring4,0,3,0.028305429909805373,0.03954100804880494,,0.00398218167474811,1.1084145185069165,
b1,b01,gru32_behavior,ring8,0,3,0.02610895817938094,0.03647266721637693,,0.0040481984455686985,1.093861570703023,
b1,b01,gru4_behavior,long8,0,3,0.9448925314295513,1.3199588668875464,,0.0006472045063553636,1.0013527354939809,
b1,b01,gru4_behavior,reset_iso,0,3,0.46186159695711543,1.876167768555854,0.99843783365986,0.0006065511873291027,1.000191303519595,0.007356663601094552
b1,b01,gru4_behavior,reset_iso,256,3,0.46076731705984747,1.8717225999456926,0.9993298830484543,0.0006983835389677865,1.0001147477726948,0.00847046855740513
b1,b01,gru4_behavior,reset_null,0,3,0.41383636855144806,1.681080352312818,,0.0004361868156278438,1.0,
b1,b01,gru4_behavior,reset_null,256,3,0.41310502222279166,1.6781094874075806,,0.0005262681759242534,1.0,
b1,b01,gru4_behavior,reset_ring4,0,3,0.32817577611117804,1.3331110826643686,0.9977532513498096,0.0003782839266710271,1.00035035133622,0.004891465918679249
b1,b01,gru4_behavior,reset_ring4,256,3,0.33663415116452117,1.367470576404466,0.9980002881154059,0.0004431720768169936,1.0003231922397007,0.005730513397535417
b1,b01,gru4_behavior,ring4,0,3,0.10155101920082245,0.14186075535256465,,0.0004805450778344289,0.9932237819066625,
b1,b01,gru4_behavior,ring8,0,3,0.11052295957004439,0.15439402432191915,,0.0005323176096917597,1.0025095886699997,
b1,b01,node32_behavior,long8,0,3,0.31062715786420697,0.4339277300653607,,0.0005954041595399817,1.0027879232498038,
b1,b01,node32_behavior,reset_iso,0,3,0.15539792730105717,0.63125530337111,1.0002269494492175,0.0004568766678094543,1.0000420618460548,0.005541309657744548
b1,b01,node32_behavior,reset_iso,256,3,0.17316169713357613,0.7034150426250134,1.000181710806971,0.00048150032286499743,1.0003416968441248,0.005839962023212154
b1,b01,node32_behavior,reset_null,0,3,0.06939948616093287,0.2819136294234267,,0.0003818998112404848,1.0,
b1,b01,node32_behavior,reset_null,256,3,0.07674641257196188,0.3117582119155369,,0.0004443522988835393,1.0,
b1,b01,node32_behavior,reset_ring4,0,3,0.0709108495550744,0.2880530688255011,1.0000970585825057,0.00047485889445495036,1.000135099981345,0.00614024528837058
b1,b01,node32_behavior,reset_ring4,256,3,0.08130515318868267,0.3302766647738119,0.999860713653495,0.0005219525407815077,1.0008910114048084,0.006749197849532446
b1,b01,node32_behavior,ring4,0,3,0.02466878732124424,0.03446083387999256,,0.00010643560193462968,0.9966950590960967,
b1,b01,node32_behavior,ring8,0,3,0.0297545813934724,0.041565386786814,,0.0001280071677555822,0.998422929799006,
b1,b02,fixed_behavior,long8,0,3,0.16994051946846692,0.22332590127203342,,0.05533953015188838,1.065328377980352,
b1,b02,fixed_behavior,reset_iso,0,3,0.05473144252250145,0.1895592903168966,0.6688943370738529,0.04273074065186396,1.2690478078904657,0.6104368955820103
b1,b02,fixed_behavior,reset_iso,256,3,0.054526973888746756,0.18885112463881,0.6643258647926233,0.042680921397583366,1.273843894612607,0.6097251945803585
b1,b02,fixed_behavior,reset_null,0,3,0.055684585923137415,0.1928604491803873,,0.015171487237254361,1.0,
b1,b02,fixed_behavior,reset_null,256,3,0.056415439436525106,0.19539171945097122,,0.014643167584079414,1.0,
b1,b02,fixed_behavior,reset_ring4,0,3,0.04485586174282421,0.1553557685790368,0.7154602532701082,0.024838786589135724,1.321135098045304,0.33235783645134404
b1,b02,fixed_behavior,reset_ring4,256,3,0.044612599550240474,0.15451324357947835,0.7151085476400455,0.024643216137507185,1.3230039976372239,0.32974098671338203
b1,b02,fixed_behavior,ring4,0,3,0.020458377723438018,0.026885204646548463,,0.0037293821820421264,1.1183190007143682,
b1,b02,fixed_behavior,ring8,0,3,0.02615575264370208,0.03437236187622107,,0.004820631805259563,1.1376898179237955,
b1,b02,free_behavior,long8,0,3,0.10123402509671116,0.13303584080378017,,0.004704135118887949,0.9999811848836774,
b1,b02,free_behavior,reset_iso,0,3,0.043872548261886475,0.1519501173296848,0.968636969366435,0.002394528844207737,1.030069272751835,0.03420742846347057
b1,b02,free_behavior,reset_iso,256,3,0.04469892146562445,0.15481221470585152,0.9999999397878009,1.0127273912310808e-07,1.000000055735145,1.4467480678854137e-06
b1,b02,free_behavior,reset_null,0,3,0.05368984928550419,0.1859517903917319,,0.002407593402541447,1.0,
b1,b02,free_behavior,reset_null,256,3,0.050519985134048186,0.1749731431780405,,7.567577687211729e-08,1.0,
b1,b02,free_behavior,reset_ring4,0,3,0.0426204850008523,0.1476136662468192,0.9537078653010066,0.002682023653934111,1.0554902865660032,0.035887082315154493
b1,b02,free_behavior,reset_ring4,256,3,0.041361240577134105,0.14325234360860456,1.0000189887996505,3.2201666757094616e-07,0.9999828616034399,4.308775815239021e-06
b1,b02,free_behavior,ring4,0,3,0.02012536132374799,0.02644757395181034,,0.0006917415186978732,1.0447823999666221,
b1,b02,free_behavior,ring8,0,3,0.024357547099429906,0.03200926521685452,,0.0008735189107924677,1.0297684571152463,
b1,b02,graph32_behavior,long8,0,3,0.21916870037715278,0.28801870028077686,,0.029063784781385858,1.072828639577785,
b1,b02,graph32_behavior,reset_iso,0,3,0.046619870904681206,0.1614653156587916,0.5172522873326368,0.03508077813470755,1.6525064170685821,0.501152120755904
b1,b02,graph32_behavior,reset_iso,256,3,0.046347245546279704,0.16052109297656042,0.5164414167972533,0.035866368454475626,1.6492273435398477,0.5123747981231306
b1,b02,graph32_behavior,reset_null,0,3,0.05464225800105562,0.18925040471451962,,0.03245670434981866,1.0,
b1,b02,graph32_behavior,reset_null,256,3,0.05457443713558622,0.18901551093985305,,0.03195218887653398,1.0,
b1,b02,graph32_behavior,reset_ring4,0,3,0.0632209063686493,0.21896207357416472,0.8434517582368332,0.014920969791899422,1.1428686168033269,0.19965150954518132
b1,b02,graph32_behavior,reset_ring4,256,3,0.059798249082303995,0.20710789147525813,0.8436667717168439,0.017040420946488267,1.1607218836057087,0.2280110349863942
b1,b02,graph32_behavior,ring4,0,3,0.020414792693823323,0.026827927747247966,,0.002875119148250694,1.1299836334668834,
b1,b02,graph32_behavior,ring8,0,3,0.02856961691006855,0.03754452125598969,,0.0034701182766548673,1.1819138427329778,
b1,b02,gru32_behavior,long8,0,3,0.16483274411965265,0.21661356134958967,,0.034838004397338224,1.0097650769403606,
b1,b02,gru32_behavior,reset_iso,0,3,0.0525205717124135,0.1819020629092631,0.7875424249203944,0.03126280907544455,1.1963698362160078,0.4466099072484718
b1,b02,gru32_behavior,reset_iso,256,3,0.05375820421487729,0.1861885338668614,0.7799041810809841,0.03274509842600116,1.1964080161088897,0.46778539112037565
b1,b02,gru32_behavior,reset_null,0,3,0.04744778342764395,0.16433274438100676,,0.008964492298452429,1.0,
b1,b02,gru32_behavior,reset_null,256,3,0.05121717354654756,0.1773878162544209,,0.010105817484425463,1.0,
b1,b02,gru32_behavior,reset_ring4,0,3,0.05486630347129168,0.19002637367092348,0.8588516552877314,0.01727390448822777,1.1551990955153746,0.2311351845699926
b1,b02,gru32_behavior,reset_ring4,256,3,0.05750269521382335,0.19915736903078757,0.8558435045607968,0.018089547541975642,1.1554278203029897,0.24204897698442482
b1,b02,gru32_behavior,ring4,0,3,0.025675859587873617,0.03374171446180636,,0.00269653417264201,0.9516281605248523,
b1,b02,gru32_behavior,ring8,0,3,0.030189396836084837,0.03967314139303156,,0.0043748954897269,1.0359251625352068,
b1,b02,gru4_behavior,long8,0,3,0.41129669206028696,0.5405020811508893,,0.007582815719773429,0.9974033144393157,
b1,b02,gru4_behavior,reset_iso,0,3,0.15319527853356016,0.5305832797442178,0.9469683000211858,0.004106144927611304,1.0187056270305244,0.05865899640828071
b1,b02,gru4_behavior,reset_iso,256,3,0.1523134133165798,0.5275289888835809,0.9454479685383097,0.004135818907290769,1.0192473515006084,0.0590829088366347
b1,b02,gru4_behavior,reset_null,0,3,0.1638088445891841,0.5673427722134404,,0.0028005259458465178,1.0,
b1,b02,gru4_behavior,reset_null,256,3,0.16138972520678904,0.5589642875219374,,0.0029627452971387135,1.0,
b1,b02,gru4_behavior,reset_ring4,0,3,0.14054036689886057,0.48675370102426246,0.9577714520999492,0.005175314241959262,1.0192022391674525,0.06924880320706753
b1,b02,gru4_behavior,reset_ring4,256,3,0.13996973294353085,0.48477734223272223,0.9623055447023416,0.005694746378245601,1.0184373430737026,0.07619911619356975
b1,b02,gru4_behavior,ring4,0,3,0.05304218260317974,0.06970493718826662,,0.002444178361313148,1.0110879262224657,
b1,b02,gru4_behavior,ring8,0,3,0.059518672845782994,0.07821596225181705,,0.0026593165760768985,1.0160489718013541,
b1,b02,node32_behavior,long8,0,3,0.22986037794693617,0.30206907824154866,,0.0010305525638459056,1.0000131782547512,
b1,b02,node32_behavior,reset_iso,0,3,0.06443413972700669,0.2231640394606743,0.9988252147563811,0.0008295486936400154,1.0014973206571078,0.011850651815407603
b1,b02,node32_behavior,reset_iso,256,3,0.07830072240807419,0.27119017308693616,1.0075455432716103,0.001523061262919165,1.0002663090733026,0.021757937609654682
b1,b02,node32_behavior,reset_null,0,3,0.07810457201357861,0.2705108171653254,,0.0009611938672914998,1.0,
b1,b02,node32_behavior,reset_null,256,3,0.09834040021274004,0.3405964764430003,,0.0014940702795754877,1.0,
b1,b02,node32_behavior,reset_ring4,0,3,0.06159414863255636,0.21332788913174808,0.9985607719088744,0.0009066462744455917,1.002141604714095,0.012131469994319608
b1,b02,node32_behavior,reset_ring4,256,3,0.0744149984810588,0.2577321855751033,0.999335052071386,0.001460025883564874,1.0011730517983297,0.01953602049291845
b1,b02,node32_behavior,ring4,0,3,0.02356950208968818,0.030973662509542834,,0.00019701773350083883,0.9993126401293358,
b1,b02,node32_behavior,ring8,0,3,0.028595273922473508,0.03757823820258492,,0.0002134956095889509,1.0007853871608945,
b1,b03,fixed_behavior,long8,0,3,0.09799408531004028,0.13314570271408716,,0.04359106967335515,1.7967582586265984,
b1,b03,fixed_behavior,reset_iso,0,3,0.043432869840507184,0.1494065061241094,0.5932541404511611,0.021672913653469333,1.6830903021610417,0.2726205569036609
b1,b03,fixed_behavior,reset_iso,256,3,0.04174550704837959,0.14360207781298537,0.5923563431565002,0.021121280296064998,1.682302745242221,0.26568163786828086
b1,b03,fixed_behavior,reset_null,0,3,0.04820211581156697,0.16581243048506358,,0.03724728462006683,1.0,
b1,b03,fixed_behavior,reset_null,256,3,0.04854735126624924,0.16700002005175946,,0.036941032577420714,1.0,
b1,b03,fixed_behavior,reset_ring4,0,3,0.05531235761990564,0.19027124221411706,0.5514998466539186,0.022563531992259925,1.5615033596332035,0.2771102195572294
b1,b03,fixed_behavior,reset_ring4,256,3,0.05509802353277283,0.1895339456177971,0.5522210634011108,0.022338534350109036,1.5582337473405798,0.2743469488938563
b1,b03,fixed_behavior,ring4,0,3,0.02375791141098099,0.03228015037668801,,0.003394337843284391,1.2770043406087666,
b1,b03,fixed_behavior,ring8,0,3,0.024926447057635942,0.03386785334190354,,0.0030411666236224767,1.3555071371879206,
b1,b03,free_behavior,long8,0,3,0.15852218793584646,0.2153859392810755,,0.011934221713565821,1.0254437815917405,
b1,b03,free_behavior,reset_iso,0,3,0.050968080273028356,0.17532718481209594,0.9566124773668613,0.00987473929626624,1.0416722727434968,0.12421296782104008
b1,b03,free_behavior,reset_iso,256,3,0.048286085378144376,0.16610128083294884,0.9914204450329729,0.00027071327734946323,1.007439132074025,0.003405264544133496
b1,b03,free_behavior,reset_null,0,3,0.06835181166372162,0.23512619371988855,,0.013204705498754582,1.0,
b1,b03,free_behavior,reset_null,256,3,0.06503379471645784,0.22371241145839674,,0.0002987349506219248,1.0,
b1,b03,free_behavior,reset_ring4,0,3,0.05822052167381348,0.20027515473764243,0.9659683766569367,0.011658063041556118,1.0349829202638048,0.14317653859182305
b1,b03,free_behavior,reset_ring4,256,3,0.0553906380209791,0.1905405221687995,0.9892842849146386,0.00033080776064841325,1.0079502189480543,0.004062759820402375
b1,b03,free_behavior,ring4,0,3,0.020864425699144467,0.02834873770849739,,0.0020415960828362484,1.0662275261467355,
b1,b03,free_behavior,ring8,0,3,0.02313516046780546,0.03143401143184629,,0.00194798413238161,1.0581709285289411,
b1,b03,graph32_behavior,long8,0,3,0.2690729723590739,0.36559257502908077,,0.022607310977055775,1.0252621557384274,
b1,b03,graph32_behavior,reset_iso,0,3,0.07174389527731904,0.24679476093751632,0.9224193328589099,0.04287337573412354,1.0862305569347928,0.539298211392341
b1,b03,graph32_behavior,reset_iso,256,3,0.07212795864800299,0.24811591624120338,0.930598263428433,0.045147250657913134,1.0836287349201952,0.5679009667931386
b1,b03,graph32_behavior,reset_null,0,3,0.1017954016847451,0.35017016745768065,,0.06460111004590112,1.0,
b1,b03,graph32_behavior,reset_null,256,3,0.10276795075720141,0.35351567880619444,,0.06539569513234807,1.0,
b1,b03,graph32_behavior,reset_ring4,0,3,0.12372596079243482,0.4256099950735001,0.9203701902215562,0.014488637398949128,1.039322252779607,0.17793976103054898
b1,b03,graph32_behavior,reset_ring4,256,3,0.13364430367364724,0.4597285085833036,0.9216120853745338,0.014344394924930837,1.036160909548095,0.17616827136933824
b1,b03,graph32_behavior,ring4,0,3,0.022975011923254685,0.031216415742929073,,0.0031842536216490913,1.069420452816667,
b1,b03,graph32_behavior,ring8,0,3,0.027666947996929554,0.03759140382146986,,0.003078315715316524,1.0917903925603913,
b1,b03,gru32_behavior,long8,0,3,0.17925381670162643,0.24355424425268726,,0.04087671780258482,1.1138689070642922,
b1,b03,gru32_behavior,reset_iso,0,3,0.06374586926209133,0.21928202398937105,0.8190212097446731,0.030398145420712407,1.1727344043586692,0.38237402990375047
b1,b03,gru32_behavior,reset_iso,256,3,0.06424033443727116,0.2209829549776974,0.814333204707156,0.03214277237291289,1.1759048192974764,0.4043194489139857
b1,b03,gru32_behavior,reset_null,0,3,0.07819897087041373,0.26899983959505935,,0.0411436706788481,1.0,
b1,b03,gru32_behavior,reset_null,256,3,0.07663945448994047,0.26363519538652674,,0.03956183974674268,1.0,
b1,b03,gru32_behavior,reset_ring4,0,3,0.07416065782729024,0.25510828132078217,0.8131937097876362,0.0266797135452904,1.147731010767629,0.3276624103352056
b1,b03,gru32_behavior,reset_ring4,256,3,0.07508049898190385,0.25827248054603835,0.8140441594592073,0.02980691554875504,1.146003531001248,0.3660686152714346
b1,b03,gru32_behavior,ring4,0,3,0.019602021623814445,0.026633494618190985,,0.005357952999334152,1.0758683211154565,
b1,b03,gru32_behavior,ring8,0,3,0.025101936343799477,0.03410629267475828,,0.004848618527779112,1.1896900448983512,
b1,b03,gru4_behavior,long8,0,3,0.6114816719947654,0.830827255103592,,0.002149107900024773,1.000811305347393,
b1,b03,gru4_behavior,reset_iso,0,3,0.25618130722812604,0.8812485610049298,1.0026116019944078,0.0016437571272533938,0.9997813889573259,0.020676591556227975
b1,b03,gru4_behavior,reset_iso,256,3,0.25618153307501595,0.8812493379048875,1.0024347538191976,0.0013933179040466713,0.9997987333700632,0.017526351510390496
b1,b03,gru4_behavior,reset_null,0,3,0.21557474058156031,0.7415643708826145,,0.0015393508989057262,1.0,
b1,b03,gru4_behavior,reset_null,256,3,0.21595501158765537,0.7428724806761786,,0.0012726248698432603,1.0,
b1,b03,gru4_behavior,reset_ring4,0,3,0.2524256870991917,0.8683294496532287,1.0039958795046398,0.0015526284525624002,1.0001472993055518,0.01906834495272985
b1,b03,gru4_behavior,reset_ring4,256,3,0.25286060929115284,0.8698255562972373,1.0037752000773283,0.0013205862051850327,1.0001571311255972,0.016218557156238024
b1,b03,gru4_behavior,ring4,0,3,0.10002606416730846,0.13590657600552264,,0.0016639683605487662,0.9476358565304611,
b1,b03,gru4_behavior,ring8,0,3,0.11638542799164094,0.15813423378154753,,0.0017896303760385746,0.9890610429435964,
b1,b03,node32_behavior,long8,0,3,0.2625294940646367,0.35670187501437334,,0.00030764916299566065,0.9992020611525647,
b1,b03,node32_behavior,reset_iso,0,3,0.08449906024788452,0.290671774827846,1.0015458613263213,0.00022645304914588088,0.9993656392653454,0.0028485213090303466
b1,b03,node32_behavior,reset_iso,256,3,0.09082802677411354,0.3124430457462238,1.0014581873748174,0.0007257467997745632,0.9994412588491589,0.009129067733535648
b1,b03,node32_behavior,reset_null,0,3,0.10648810214334774,0.36631277977829074,,0.00027196392185349356,1.0,
b1,b03,node32_behavior,reset_null,256,3,0.10962250779423217,0.37709495002847193,,0.0006937627335813944,1.0,
b1,b03,node32_behavior,reset_ring4,0,3,0.09727417230083714,0.33461740550306185,1.001795515431376,0.0002291329103793891,0.9995619308845612,0.002814057263942564
b1,b03,node32_behavior,reset_ring4,256,3,0.10307586169483894,0.35457487423948625,1.0019299141810765,0.0006152272333219341,0.9996635436598434,0.0075558096915815534
b1,b03,node32_behavior,ring4,0,3,0.02449916537690198,0.03328730075591648,,7.653644198910962e-05,1.0069974861443007,
b1,b03,node32_behavior,ring8,0,3,0.029190147219862933,0.03966099231009507,,9.791054830409573e-05,0.9957215414961809,
t1,t01,fixed_behavior,long8,0,3,0.07746814887015432,0.10114308054378987,,0.05256059067470631,2.400791864460797,
t1,t01,fixed_behavior,reset_iso,0,3,0.0329226141547606,0.12023882546935935,0.33551834398044317,0.029458852123513943,3.0909269155475427,0.31060390218258077
t1,t01,fixed_behavior,reset_iso,256,3,0.03303142344056619,0.12063621495562321,0.3372166481050113,0.02948640083087641,3.082954918036837,0.3108943661820262
t1,t01,fixed_behavior,reset_null,0,3,0.038730046275585565,0.14144852692011892,,0.031099346712588873,1.0,
t1,t01,fixed_behavior,reset_null,256,3,0.03796329384054068,0.13864822036541488,,0.031097533960166245,1.0,
t1,t01,fixed_behavior,reset_ring4,0,3,0.03004812285569818,0.10974070840014777,0.32398077072583004,0.025669049495689877,3.2196855780694653,0.26879265054769036
t1,t01,fixed_behavior,reset_ring4,256,3,0.030118379920167037,0.1099972988055436,0.3232536365675853,0.02568111915575519,3.2156911550828493,0.2689190376163159
t1,t01,fixed_behavior,ring4,0,3,0.01742192197713256,0.02274621097135338,,0.005086686661557065,1.6364963650781825,
t1,t01,fixed_behavior,ring8,0,3,0.013983056219272866,0.01825639830125245,,0.004491778351473443,1.9119919815479898,
t1,t01,free_behavior,long8,0,3,0.14504279205619358,0.18936911509044205,,0.009537803423119827,1.2778853196748108,
t1,t01,free_behavior,reset_iso,0,3,0.04672113484430077,0.17063330244272132,0.4432134238359457,0.010869809578072126,1.862334147652047,0.11460749579702462
t1,t01,free_behavior,reset_iso,256,3,0.04999510987100512,0.18259040007708466,0.6298980931719002,0.0027005307302964982,1.4277860902949222,0.028473457800636558
t1,t01,free_behavior,reset_null,0,3,0.04693322713551729,0.17140789852634647,,0.008526741474225028,1.0,
t1,t01,free_behavior,reset_null,256,3,0.047580682891670216,0.17377251390279425,,0.0025904438340706598,1.0,
t1,t01,free_behavior,reset_ring4,0,3,0.050349757369096915,0.18388563132530067,0.5499647801636343,0.007148086901707931,1.6493840277081544,0.07485096886730921
t1,t01,free_behavior,reset_ring4,256,3,0.053382096888635044,0.19496023617106636,0.6959068062441532,0.0018725954294825098,1.3235942234971576,0.019608824587704767
t1,t01,free_behavior,ring4,0,3,0.018761699938939506,0.02449543658572767,,0.0021898470713668343,1.3495496589439597,
t1,t01,free_behavior,ring8,0,3,0.01957789927692248,0.025561073451786886,,0.0021333170335199924,1.3885587729381987,
t1,t01,graph32_behavior,long8,0,3,0.17829359730680217,0.2327816520189429,,0.015327251596368219,1.2851123353507672,
t1,t01,graph32_behavior,reset_iso,0,3,0.03125377132299196,0.11414393576705403,0.2604862268376774,0.01111290416117018,2.6760360760195057,0.11717060062518031
t1,t01,graph32_behavior,reset_iso,256,3,0.031125524996743956,0.11367555899823689,0.2608023219519643,0.011700000956582468,2.705465619655743,0.12336074526657285
t1,t01,graph32_behavior,reset_null,0,3,0.03921576414089362,0.14322244880127916,,0.00828275793098894,1.0,
t1,t01,graph32_behavior,reset_null,256,3,0.03652387119719505,0.1333912110897753,,0.009189137833667238,1.0,
t1,t01,graph32_behavior,reset_ring4,0,3,0.04627266752851702,0.16899542572194343,0.4410447815161788,0.005919810751747248,1.9010386285759409,0.061989113503016106
t1,t01,graph32_behavior,reset_ring4,256,3,0.04790078585377932,0.17494158279909558,0.4353470623088069,0.008550247461055717,1.8735794971001716,0.08953364939678529
t1,t01,graph32_behavior,ring4,0,3,0.00995273116918172,0.01299437129913221,,0.0026195746675510396,2.1774816084188626,
t1,t01,graph32_behavior,ring8,0,3,0.00815461425089325,0.010646734406472848,,0.003139992256034741,3.1322315445634934,
t1,t01,gru32_behavior,long8,0,3,0.12932885102644465,0.16885285871395103,,0.01791297775840793,1.6882573785239536,
t1,t01,gru32_behavior,reset_iso,0,3,0.024845249794977473,0.09073895650564431,0.23242667980642,0.011206530496438175,3.2639742387688457,0.11815776417654224
t1,t01,gru32_behavior,reset_iso,256,3,0.024029926474979757,0.08776126105553596,0.22588431945713675,0.012027403997077536,3.4607240594675144,0.1268127691790402
t1,t01,gru32_behavior,reset_null,0,3,0.0367294662711886,0.13414207826280922,,0.011775263642630948,1.0,
t1,t01,gru32_behavior,reset_null,256,3,0.03613892857566189,0.1319853370462176,,0.012835107082218989,1.0,
t1,t01,gru32_behavior,reset_ring4,0,3,0.03437871315497635,0.12555673955510133,0.2528611291922607,0.01016728933733838,2.8064010788472076,0.10646645292913308
t1,t01,gru32_behavior,reset_ring4,256,3,0.03447912686910017,0.12592346702669607,0.24985028644760524,0.011013501358018735,2.84836532569602,0.11532753568960621
t1,t01,gru32_behavior,ring4,0,3,0.0070319144854936845,0.009180927949826634,,0.002955287478503587,2.883954067803961,
t1,t01,gru32_behavior,ring8,0,3,0.007522682812288041,0.00982167929253009,,0.002641704104829819,3.212167945849061,
t1,t01,gru4_behavior,long8,0,3,0.3078624021393124,0.4019477964830718,,0.039239175593519256,1.2252505891556609,
t1,t01,gru4_behavior,reset_iso,0,3,0.08144555076214183,0.29745260559538417,0.5359357699580718,0.01444064936063552,1.7810924822371903,0.15225718988159812
t1,t01,gru4_behavior,reset_iso,256,3,0.08236158175727858,0.30079810211127506,0.543726831444495,0.014639017360149798,1.7782819338462343,0.1543487131513764
t1,t01,gru4_behavior,reset_null,0,3,0.08805525119772688,0.3215923234605325,,0.010322744022487436,1.0,
t1,t01,gru4_behavior,reset_null,256,3,0.08808627936551304,0.321705643454915,,0.010225916906560308,1.0,
t1,t01,gru4_behavior,reset_ring4,0,3,0.08901626115231492,0.32510209056653616,0.35549225939452295,0.012123970870775378,1.7894950123792697,0.12695578252969197
t1,t01,gru4_behavior,reset_ring4,256,3,0.08873650728255104,0.32408038322085586,0.35766073862619707,0.01208871505552242,1.7987091028475237,0.12658660236076308
t1,t01,gru4_behavior,ring4,0,3,0.013710335145802027,0.017900331325310073,,0.004543935322950541,1.9257428580306817,
t1,t01,gru4_behavior,ring8,0,3,0.012478549823545453,0.01629210182868848,,0.0046003832598295585,2.0834804476954303,
t1,t01,node32_behavior,long8,0,3,0.22936352141066865,0.2994589835718159,,0.013721729867256833,1.271447131471039,
t1,t01,node32_behavior,reset_iso,0,3,0.04681012575779931,0.170958311959469,0.39362442919497304,0.010948864291906843,2.110576661186701,0.11544102123447339
t1,t01,node32_behavior,reset_iso,256,3,0.07321745829405729,0.2674022526809663,0.5022126010874951,0.027076416866885805,1.761861433174902,0.2854843325434298
t1,t01,node32_behavior,reset_null,0,3,0.054211853293156996,0.19799064363009772,,0.010177423292012993,1.0,
t1,t01,node32_behavior,reset_null,256,3,0.08747269124838906,0.31946471829088835,,0.02563515234276044,1.0,
t1,t01,node32_behavior,reset_ring4,0,3,0.05395427115366957,0.19704991110599546,0.3541599933135192,0.009519946026505032,1.9249964059764126,0.09968781765623644
t1,t01,node32_behavior,reset_ring4,256,3,0.0803580935775472,0.29348103231723466,0.4626954659856531,0.025773423183435507,1.6650442770510787,0.2698855963609467
t1,t01,node32_behavior,ring4,0,3,0.013506939197545732,0.017634775828285765,,0.0023071657523522433,1.8267134062196126,
t1,t01,node32_behavior,ring8,0,3,0.01275792526915871,0.01665685681005483,,0.0022339152094559282,1.853975113817608,
t1,t02,fixed_behavior,long8,0,3,0.09854952047701077,0.13485179263177569,,0.07496334596844732,2.0678890220235346,
t1,t02,fixed_behavior,reset_iso,0,3,0.03086247257145146,0.12593964585554468,0.2686890303174805,0.0424803384875328,4.04962956540316,0.3651286987202442
t1,t02,fixed_behavior,reset_iso,256,3,0.03028698181574299,0.12359125650341911,0.27178849159942453,0.04214054433223003,4.115876223854359,0.36220808645170366
t1,t02,fixed_behavior,reset_null,0,3,0.04844786664556908,0.19769988142309988,,0.04598537747728221,1.0,
t1,t02,fixed_behavior,reset_null,256,3,0.04796191995512369,0.1957168920836139,,0.046158196683816766,1.0,
t1,t02,fixed_behavior,reset_ring4,0,3,0.031829591347100804,0.12988614093378392,0.4275420701100636,0.03551708834019831,2.6187353103388573,0.44007334834917516
t1,t02,fixed_behavior,reset_ring4,256,3,0.0314284280424094,0.12824912483255907,0.4289049739088088,0.035460662451856056,2.632538058906382,0.4393742051824126
t1,t02,fixed_behavior,ring4,0,3,0.018858629646919287,0.02580550369150772,,0.006312454385441021,1.6778663204101916,
t1,t02,fixed_behavior,ring8,0,3,0.02209075024592674,0.030228226954579492,,0.005139098199527678,1.4618469906504932,
t1,t02,free_behavior,long8,0,3,0.14017881722955075,0.1918158982500241,,0.010822009413197907,1.349403211909652,
t1,t02,free_behavior,reset_iso,0,3,0.039129627958927965,0.159675200235418,0.5243322026659082,0.010752856425888663,1.981610877029102,0.09242338018240144
t1,t02,free_behavior,reset_iso,256,3,0.05342333236834729,0.21800312801626873,0.9999665254535255,4.674516235391054e-05,1.0000364737769258,0.00040178588282103854
t1,t02,free_behavior,reset_null,0,3,0.05688735437002912,0.2321386676467251,,0.00750132221518502,1.0,
t1,t02,free_behavior,reset_null,256,3,0.057473223431382094,0.23452940746621598,,3.5353861705190443e-05,1.0,
