study,dataset,method,case,wait,n_initializations,mse_median,nmse_median,difference_error_median,repeat_mse_median,wrong_ratio_median,repeat_vs_difference_median
c1,d01,fixed_behavior,long8,0,3,0.10810587351154538,0.15436734694341622,,0.04407396931646235,1.6562112230410273,
c1,d01,fixed_behavior,reset_iso,0,3,0.04821582712613073,0.18301575221030975,0.5730402585371004,0.027501116597514714,1.8178262999064465,0.30970441900696877
c1,d01,fixed_behavior,reset_iso,256,3,0.04829178983641461,0.1833040884971927,0.5636940910558385,0.026977696933864,1.8080113349129534,0.303809917150909
c1,d01,fixed_behavior,reset_null,0,3,0.03464325223440111,0.13149750288643886,,0.01901675846607531,1.0,
c1,d01,fixed_behavior,reset_null,256,3,0.03477348387907369,0.13199183107350881,,0.01938205283053199,1.0,
c1,d01,fixed_behavior,reset_ring4,0,3,0.036333180693206645,0.13791206728374414,0.3928882714721569,0.02588391216000453,2.4835867377320366,0.2764123179573315
c1,d01,fixed_behavior,reset_ring4,256,3,0.03674731325167799,0.139484015463854,0.39269008121495497,0.025966678479492505,2.468320205670516,0.27729617315190364
c1,d01,fixed_behavior,ring4,0,3,0.02296457575361478,0.032791748659132966,,0.004518071263560892,1.435556739136109,
c1,d01,fixed_behavior,ring8,0,3,0.01933469142179873,0.027608537092426774,,0.005399819331396998,1.4492564920066535,
c1,d01,fixed_mse,long8,0,3,0.14165216248470866,0.20226901463616512,,0.0008828143974484239,1.0110451698931218,
c1,d01,fixed_mse,reset_iso,0,3,0.09172270495044531,0.34815745869829623,0.9853880542487008,0.0003717526616849856,1.0073217135740207,0.00418650063509957
c1,d01,fixed_mse,reset_iso,256,3,0.09188155255729269,0.3487604062362059,0.9854934446622273,0.00035082492565395254,1.007248089324143,0.00395082248342743
c1,d01,fixed_mse,reset_null,0,3,0.04214879544466949,0.15998675046858407,,0.0003153241584186639,1.0,
c1,d01,fixed_mse,reset_null,256,3,0.04218372835997703,0.16011934746324277,,0.0002848818526470604,1.0,
c1,d01,fixed_mse,reset_ring4,0,3,0.04854324614095638,0.18425855651043133,0.9761705228082597,0.0003866572312859194,1.023275605474132,0.004129082995415571
c1,d01,fixed_mse,reset_ring4,256,3,0.048325995063183545,0.18343392336013645,0.9760375186564426,0.00036572426933273943,1.023490371046081,0.0039055414959921664
c1,d01,fixed_mse,ring4,0,3,0.023936052580442433,0.03417894711101336,,0.00026609600614999437,1.0586838403248204,
c1,d01,fixed_mse,ring8,0,3,0.020496041348098296,0.029266860559714145,,0.00023010841100581372,1.0312037584169855,
c1,d01,free_behavior,long8,0,3,0.10759320390851967,0.1536352919319079,,0.00029655209928175063,1.0061414675090627,
c1,d01,free_behavior,reset_iso,0,3,0.07405767000932192,0.28110520946250583,1.0007118330481652,0.0003810865836236382,0.9997163236208398,0.0042916147987669484
c1,d01,free_behavior,reset_iso,256,3,0.0726344749981485,0.2757031014611126,1.000144145295734,3.067240437643823e-07,0.9999132541343027,3.454179448775571e-06
c1,d01,free_behavior,reset_null,0,3,0.03844016958143358,0.145909693359283,,0.0004180394630160957,1.0,
c1,d01,free_behavior,reset_null,256,3,0.03799780289205863,0.14423057516854965,,2.5991296629997896e-07,1.0,
